npaid,smiles
NPA000221,C[C@H]1C[C@@H]([C@]2(C[C@H]([C@H]([C@H](O2)[C@H](C)[C@H]([C@@H](C)C/C(=C/CO)/C)O)C)OC)O[C@@H]1[C@@H](C)[C@H]([C@@H](C)/C=C\C=C\C=C/C=C/C=C\[C@H](CC(=O)O)OC)O)O
NPA000226,CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CC=C(C=C1)OCC=C(C)C)C(=O)O)N(C)C(=O)[C@H](CO)NC(=O)[C@@H]2CCCN2C(=O)C(CC3=CC=CC=C3)O
NPA000259,C[C@@H]1[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O1)C)CC(C)C)CC(C)C)CC(C)C)CC(C)C)C)NC(=O)CCCC(C)C
NPA000264,C[C@H]1[C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O1)CC(=O)C2=CC=CC=C2N)C(C)CC(=O)O)CC(=O)N)CC(=O)O)C)CC(=O)O)CCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](CC(=O)N)NC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)CCCCCCCCC(C)C
NPA000266,C[C@H]1[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)C(=C)N(C(=O)CC[C@@H](NC1=O)C(=O)O)C)C)CC2=CC=CC=C2)C(=O)O)C)CCCN=C(N)N)/C=C/C(=C/[C@H](C)[C@H](CC3=CC=CC=C3)OC)/C
NPA000271,CCC(C)CCCCC(=O)O[C@H]([C@@H](C(=O)NCCCN[C@@H]([C@@H]([C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=O)NC2=O)O)O)O[C@H]3[C@@H]([C@@H]([C@H](O3)CN)O)OC)C(=O)O)NC(=O)[C@H]([C@@H]4CCN=C(N4)N)NC(=O)N[C@@H](C(C)C)C(=O)O)C(C)C
NPA000288,CC(C(C(=O)N(CCCC(C(=O)O)N)O)NC(=O)C(CCCN(C(=O)CCNC(=O)C(CCCN(C=O)O)N)O)N)O
NPA000312,CC[C@H](C)[C@H]1C2=NC(=CS2)C3=NC(=CS3)C4=C(C=CC(=N4)C5=NC(=CS5)C(=O)NC(=C)C(=O)NC(=C)C(=O)O)C6=NC(=CS6)C(=O)N[C@H](C7=NC(=C(S7)C)C(=O)N[C@H](C8=NC(=CS8)C(=O)N[C@H](C(=O)N1)CC9=CC=C(C=C9)O)CC1=CC=CC=C1)CC(=O)N
NPA000313,CCCCCCCCCC(CC(=O)N/C(=C\C)/C(=O)N1CCCC1C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N/C(=C\C)/C(=O)N[C@H]2[C@@H](OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)/C(=C/C)/NC(=O)C(NC(=O)C(NC2=O)CO)C)C)CCN)CCN)CC3=CC=C(C=C3)O)C)O
NPA000314,CCC(C)C(C(=O)NC(C(C)O)C(=O)NC(C)(C)C(=O)NC(CC(C)C)C(=O)NC(C)(C)C(=O)N1CC(CC1C(=O)NC(CCC(=O)N)C(=O)NC(C)(C)C(=O)N2CC(CC2C(=O)NC(C)(C)C(=O)N3CCCC3C(=O)NC(CC4=CC=CC=C4)C(=O)NC(CO)C(=O)O)O)O)NC(=O)C(C)(C)NC(=O)C(CCC(=O)N)NC(=O)C(C)(CC)NC(=O)C(CC5=CC=CC=C5)NC(=O)C
NPA000316,CCCCCCCCC(C(C)C(=O)NC(CCCN(C(=N)N)O)C(=O)NO)OC(=O)C(CCCN(C=O)O)NC(=O)C(COC(=O)C1=CC=CC=C1O)O
NPA000319,CCCCCCCCCCCCCC(=O)NC(C)(C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)NC(CCC(=O)N)C(=O)N[C@@H](CC(C)C)CO
NPA000334,CC1C2=NC(=CS2)C(=O)NC(=C)C(=O)NC(=C)C3=NC(=CO3)C4=C(C=CC(=N4)C(=O)NC(=C)C(=O)N)C5=NC(=CS5)C(=O)NC(C(=O)NC(C6=NC(=CO6)C(=O)NCC7=NC(=CS7)C(=O)N1)CSC)C(C)O
NPA000335,CC(C)CCCCCCCCCCC[C@@H]1CC(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)C(C)O)CO)CCC(=O)O)CC(=O)N)CC3=CC=C(C=C3)O)CC(=O)N
NPA000338,CCC(C)/C=C(\C)/C=C/C(=O)O[C@@H]1[C@H]([C@]2(O[C@@H]([C@]([C@@]1(O2)C(=O)O)(C(=O)O)O)C(=O)O)CCC(=C)[C@H]([C@H](C)CC3=CC=CC=C3)OC(=O)C)O
NPA000347,C[C@@H]1C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)NCCCC(=O)N1)CC2=CNC3=CC=CC=C32)CO)C(C)C)CC4=CC=CC=C4)C(C)C
NPA000351,CC[C@H](C)[C@H](C(=O)N1[C@H]2C[C@@H](CC[C@H]2C[C@H]1C(=O)NCCCCN=C(N)N)O)NC(=O)[C@@H](CC3=CC(=C(C(=C3)Br)O)Br)O
NPA000355,NC(N)=NCCC[C@@H](NC(=O)C[C@@H](O)[C@@H](CC1=CNC2=CC=CC=C12)NC(=O)CCNC(=O)[C@H](O)CC1=CC=CC=C1)C(=O)N[C@@H](C(=O)O)[C@H](O)C1=CC=CC=C1
NPA000359,CCCCCCCCC1CC(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@@H]2C(=O)N1)CC(=O)N)CO)CCC(=O)N)CC(=O)N)CC3=CC=C(C=C3)O)CC(=O)N
NPA000360,CC[C@H](C)C(=O)C(=O)N[C@H]1CC2=CC(=C(C=C2)O)C3=C4C(=CC=C3)[C@]([C@@H]([C@H](NC(=O)[C@H](NC1=O)CC(=O)N)C(=O)N/C=C\C)O)(C(=O)N4)O
NPA000374,CC1C=CC(=O)N1C(=O)/C=C(\CCNC(=O)CC/C=C/C(C)CC/C(=C/Cl)/CCCC#C)/OC
NPA000381,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CC(C)C)CC(C)C)CC(C)C)CC2=CC=CC=C2
NPA000392,C[C@H]1C2=NC(=C(O2)C)C(=O)NCC3=NC(=CS3)C(=O)N[C@H](C4=NC(=CS4)C(=O)N1)CCS(=O)C
NPA000394,CCCCCCCCCCCC1CC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)N1)CCC(=O)N)CC(=O)N)CO)CC(=O)N)CC3=CC=C(C=C3)O)CC(=O)N
NPA000403,C\C=C\COC1=CC(O)=C(C[C@@H]2NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC3=CC=C(OCC=C=C)C=C3)NC(=O)[C@H](CC(C)C)N(C)C2=O)C=C1
NPA000407,C[C@H](CCCCC=C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](CC2=CC=C(C=C2)OC)C(=O)N(C)CC3=NC=CS3
NPA000408,CC[C@@H](C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)[C@H](C)CC)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C
NPA000419,CC1C(=O)N2C(CCCN2)C(=O)N3C(CC4(C3NC5=C4C=CC(=C5)Cl)O)C(=O)NC(C(=O)N6C(CCC=N6)C(=O)N7C(CCCN7)C(=O)N1C)C(C)C
NPA000430,CCCCCCCCCC[C@H](C)CCC[C@@]1(C=C/C(=C\2/C(=O)[C@@H](OC2=O)CC(=O)O)/O1)C
NPA000434,CC[C@H](C)[C@@H](C(=O)N(C)[C@@H](C(C)C)C(=O)O)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)C1=CC=CC=C1
NPA000454,CCCC1C(C(=O)N[C@H](C(=O)N([C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)NCC(=O)O1)CC3=CC=CC=C3)C)CC4=CC=CC=C4)C)C(C)C)(C)C
NPA000455,C[C@@H](C(C(=O)NC(CCCCN)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)NCC(=O)NC(CC(=O)N)C(=O)NCC(=O)NC(C(C)C)C(=O)NC(CC3=CC=C(C=C3)O)C(=O)NC(CSSC)C(=O)NC)N)O
